filename,epidemiology,Covid,crowd,Given,a,numWord
35045071.txt,1,0,0,0,292,11740
35065679.txt,1,0,7,0,63,4186
35075164.txt,0,0,38,0,166,8489
35080680.txt,2,0,0,0,77,3357
35081117.txt,0,0,0,0,59,5969
35081934.txt,0,0,1,0,113,7450
35120170.txt,0,0,0,0,246,17037
35121981.txt,0,0,2,0,38,3280
35138765.txt,0,0,0,0,78,6402
35143537.txt,0,0,0,0,187,14891
35147463.txt,0,0,0,0,83,6500
35148341.txt,0,0,1,0,73,6332
35161690.txt,0,0,7,0,493,16928
35171232.txt,0,0,0,0,203,12853
35195670.txt,0,0,0,0,145,11417
35201826.txt,0,0,0,0,137,16680
35214452.txt,0,0,1,0,181,13847
35230533.txt,0,0,0,0,63,4559
35238633.txt,0,0,0,0,29,2362
35272053.txt,0,0,0,0,92,8393
35303043.txt,0,0,0,0,146,12642
35314717.txt,0,0,0,0,117,8033
35315779.txt,0,0,2,0,62,8465
35331133.txt,0,0,0,0,58,4007
35336564.txt,0,0,0,0,154,8522
35346350.txt,0,0,1,0,140,9957
35408382.txt,0,0,0,0,179,11051
35439085.txt,0,0,0,0,56,4683
35458885.txt,0,0,0,0,303,24531
35471911.txt,0,0,0,0,71,4766
35474324.txt,0,0,0,0,64,4970
35477953.txt,0,0,25,0,190,8812
35478086.txt,0,0,0,0,204,10066
35528365.txt,0,0,6,0,175,7789
35537794.txt,0,0,0,0,134,9072
35538078.txt,0,0,1,0,139,9815
35545625.txt,0,0,0,0,33,2853
35570926.txt,0,0,0,0,106,9166
35579553.txt,0,0,2,0,157,8368
35587505.txt,0,0,2,0,164,9041
35605128.txt,9,0,1,0,101,8044
35617239.txt,0,0,0,0,124,6616
35617244.txt,1,0,22,0,122,7678
35624187.txt,0,0,0,0,114,6736
35632034.txt,0,0,0,0,141,15364
35646785.txt,0,0,1,0,88,6057
35653606.txt,0,0,0,0,138,7713
35657809.txt,0,0,0,0,106,9585
35672076.txt,0,0,0,0,68,5267
35689231.txt,0,0,0,0,111,6270
35727610.txt,0,0,0,0,89,5393
35727616.txt,0,0,3,0,112,5512
35794205.txt,1,0,0,0,79,3522
35794553.txt,0,0,0,0,69,9169
35808283.txt,0,0,0,0,110,12373
35811295.txt,0,0,0,0,8,812
35820053.txt,2,0,0,0,61,7569
35830424.txt,0,0,0,0,96,7040
35849964.txt,0,0,0,0,175,9008
35854367.txt,0,0,4,0,84,8741
35881418.txt,0,0,2,0,44,5675
35886164.txt,0,0,0,0,68,7338
35906557.txt,0,0,0,0,151,7419
35918351.txt,0,0,0,0,102,6497
35927290.txt,0,0,0,0,51,4538
35933276.txt,0,0,0,0,41,2986
35951615.txt,0,0,1,0,106,10461
35976951.txt,0,0,0,0,123,11764
36042406.txt,0,0,0,0,148,10629
